CONFIG,TYPE,OWNER,NOTE,6763_64,6739,6739_64,6771,6771_64,6768,6768_64,6785,6785_64,6885,6885_64,6886,6886_64
CONFIG_A60810_SUPPORT,PROJECT,Eddie.Hung,,,,,,,,,,,,,,
CONFIG_ACCDET_EINT,PLATFORM,darren.liao,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_ACCDET_EINT_IRQ,PLATFORM,argus.lin,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_ACCDET_SUPPORT_EINT0,PLATFORM,argus.lin,,X,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_ACCDET_SUPPORT_EINT1,PLATFORM,xuexi.bai,,y,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_ADVISE_SYSCALLS                  ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_AEABI,PLATFORM,,,X,y,X,y,X,y,X,y,X,y,X,y,X
CONFIG_AIO                              ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_ANDROID                          ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_ANDROID_BINDER_DEVICES           ,COMMON,,,"binder,hwbinder,vndbinder","binder,hwbinder,vndbinder","binder,hwbinder,vndbinder","binder,hwbinder,vndbinder","binder,hwbinder,vndbinder","binder,hwbinder,vndbinder","binder,hwbinder,vndbinder","binder,hwbinder,vndbinder","binder,hwbinder,vndbinder","binder,hwbinder,vndbinder","binder,hwbinder,vndbinder","binder,hwbinder,vndbinder","binder,hwbinder,vndbinder"
CONFIG_ANDROID_BINDER_IPC               ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_ANDROID_DEFAULT_SETTING,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_ANDROID_INTF_ALARM_DEV,PROJECT,,,,,,,,,,,,,,,
CONFIG_ARCH_MT6739,PLATFORM,,,X,y,y,X,X,X,X,X,X,X,X,X,X
CONFIG_ARCH_MT6763,PLATFORM,,,y,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_ARCH_MT6768,PLATFORM,,,X,X,X,X,X,y,y,X,X,X,X,X,X
CONFIG_ARCH_MT6771,PLATFORM,,,X,X,X,y,y,X,X,X,X,X,X,X,X
CONFIG_ARCH_MT6785,PLATFORM,,,X,X,X,X,X,X,X,y,y,X,X,X,X
CONFIG_ARCH_MT6885,PLATFORM,,,X,X,X,X,X,X,X,X,X,y,y,X,X
CONFIG_ARCH_MT6886,PLATFORM,,,X,X,X,X,X,X,X,X,X,X,X,y,y
CONFIG_ARCH_MTK_PROJECT,PROJECT,,,O,O,O,O,O,O,O,O,O,O,O,O,O
CONFIG_ARM_CRYPTO,PROJECT,Calvin.Liao,,,y,,y,,y,,y,,y,,y,
CONFIG_ARM_ERRATA_858921,PLATFORM,stanley.chu,new config in this commit fec2807bf7ea34ddd06cdc7c7641416360058d7b,X,X,X,y,X,y,X,y,X,y,X,y,X
CONFIG_ARM_KERNMEM_PERMS,PLATFORM,yun.hsiang,,X,y,X,y,X,y,X,y,X,y,X,y,X
CONFIG_ARM_MODULE_PLTS,PLATFORM,johnson.lin,,,y,,y,,y,,y,,y,,y,
CONFIG_ARM_PATCH_PHYS_VIRT,COMMON,,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_ARM_PSCI,PLATFORM,scott.shu,,X,y,X,y,X,y,X,y,X,y,X,y,X
CONFIG_ARM_UNWIND,PROJECT,Ji.Zhang,,X,y,X,N,X,N,X,N,X,N,X,N,X
CONFIG_ARM64_CRYPTO,PLATFORM,Calvin.Liao,,y,X,y,X,y,X,y,X,y,X,y,X,y
CONFIG_ARM64_ERRATUM_836870,PLATFORM,,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_ARM64_ERRATUM_858921,PLATFORM,hongxu.zhao,timer,X,X,y,X,y,X,y,X,y,X,y,X,y
CONFIG_ASHMEM                           ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_ASYMMETRIC_KEY_TYPE,PROJECT,pangyen.chen,,,,,,,,,,,,,,
CONFIG_ASYMMETRIC_PUBLIC_KEY_SUBTYPE,PROJECT,pangyen.chen,,,,,,,,,,,,,,
CONFIG_AUDIT                            ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_AUTO_ZRELADDR,PLATFORM,,,X,X,X,X,X,X,X,X,X,X,X,X,X
CONFIG_BACKLIGHT_CLASS_DEVICE,PLATFORM,,,X,X,X,X,X,X,X,X,X,y,y,X,X
CONFIG_BACKLIGHT_LCD_SUPPORT,PLATFORM,,,X,X,X,X,X,X,X,X,X,y,y,X,X
CONFIG_BACKLIGHT_SUPPORT_LM3697,PROJECT,joan.cho,new config in this commit c1d836e76318074d6d130e603374f18cfca53661,,,,,,,,,,,,,
CONFIG_BINFMT_ELF                       ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_BINFMT_SCRIPT                    ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_BLK_DEV_BSG,COMMON,,,N,N,N,N,N,N,N,N,N,N,N,N,N
CONFIG_BLK_DEV_DM,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_BLK_DEV_INITRD                   ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_BLK_DEV_LOOP,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_BLK_DEV_LOOP                     ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_BLK_DEV_MD,PROJECT,pangyen.chen,,,,,,,,,,,,,,
CONFIG_BLK_DEV_SD,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_BLOCK                            ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y,y,y
CONFIG_BOUNCE,PLATFORM,miles.chen,,N,X,N,X,N,X,N,X,N,X,N,X,N
